transaction_id,card_number,card_type,expiration_date,cvv,card_holder_name,billing_address,billing_city,billing_state,billing_postal_code,billing_country,transaction_amount,transaction_date,merchant_name,merchant_category,transaction_description,transaction_type,currency_code,exchange_rate,conversion_amount,conversion_date,transaction_status,authorization_code,payment_gateway,transaction_reference_number,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_postal_code
11,3573116917502499,American Express,10/23/2026,399,Fernanda Bowler,06 Crest Line Junction,El Paso,TX,88530,United States,3883.21,9/13/2026,Shuffletag,Travel,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,Refund,USD,1.6275,6097.87,2/8/2026,Pending,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,Youopia,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,Man Kynforth,mkynfortha@shareasale.com,915-802-6004,47 Annamark Circle,Jinxiang,,
12,3569153062469329,American Express,10/1/2022,749,Der Voysey,45 Iowa Road,Shushi,,,Azerbaijan,7106.55,5/11/2025,Dabshots,Travel,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,Refund,AZN,0.5582,1625.77,11/29/2025,Declined,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,Livepath,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,Andrea Brightwell,abrightwellb@sitemeter.com,944-579-9676,6576 Vidon Court,Hluhluwe,,3960
13,3544571004581648,American Express,12/8/2027,240,Jewell Packwood,6731 Shoshone Park,Toledo,,6038,Philippines,3058.12,10/2/2024,Photolist,Retail,ut tellus nulla ut erat id mauris vulputate elementum nullam,Refund,PHP,0.7883,7099.96,1/2/2022,Pending,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,Gabcube,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,Juli Faraday,jfaradayc@unc.edu,415-857-6999,369 Lakeland Drive,Jinhaihu,,
14,3529283902180197,American Express,5/18/2023,967,Rollo Disbrow,44 Fallview Plaza,Huangxikou,,,China,6964.13,12/29/2027,Leexo,Retail,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,Purchase,CNY,0.7256,6372.43,5/17/2025,Declined,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,Oyoba,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,Melicent Glasscoe,mglasscoed@livejournal.com,638-682-9092,203 Garrison Crossing,Juazeiro do Norte,,63000-000
15,3565383293746690,Visa,12/6/2025,679,Nefen Spurman,9 Continental Terrace,Ribeira Grande,,,Cape Verde,9938.84,5/4/2024,Omba,Entertainment,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,Cash Advance,CVE,1.7794,4294.58,11/28/2023,Pending,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,Abata,at turpis a pede posuere nonummy integer non velit donec diam neque,Lynne Shillabeare,lshillabearee@gmpg.org,434-218-9950,9 Birchwood Trail,Bamban,,
16,3561340809240711,Mastercard,2/11/2029,719,Mufi Pilbeam,1068 Lotheville Center,Vyškov,,683 21,Czech Republic,5376.9,5/22/2023,Zazio,Dining,odio cras mi pede malesuada in imperdiet et commodo vulputate justo,Cash Advance,CZK,1.4055,1883.41,1/7/2023,Approved,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,Quamba,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,Roseann Dusey,rduseyf@sohu.com,693-801-9499,86 Steensland Alley,Argasari,,
17,374288055012594,Visa,6/3/2023,732,Janeczka Blunsen,8555 South Plaza,Giawang,,6310,Philippines,8255.66,8/30/2026,Viva,Travel,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,Cash Advance,PHP,1.2051,6338.32,4/17/2030,Pending,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,Kazu,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,Neale Fredson,nfredsong@bloglovin.com,811-350-4321,3 Nova Hill,Nong Saeng,,41340
18,374283471259911,Visa,10/6/2027,511,Amandie Dewbury,04 Orin Avenue,Karanggedang,,,Indonesia,775.57,5/16/2027,Blogtags,Travel,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,Purchase,IDR,1.0999,3188.84,7/16/2028,Approved,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,Quimba,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,Essy Hitter,ehitterh@twitpic.com,606-143-3928,121 Forest Place,Besançon,A6,25086 CEDEX 9
19,3570429261602556,Visa,7/15/2029,261,Adda Jenno,01345 Summit Court,Okinawa,,904-2244,Japan,7962.21,8/7/2030,Quatz,Dining,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,Purchase,JPY,1.7359,8706.87,7/30/2022,Approved,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,Flashpoint,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,Leisha Winslade,lwinsladei@economist.com,696-387-6432,0401 Mcbride Point,Vrakháti,,
20,630454598035839677,American Express,7/21/2024,122,Domini Fashion,8 Buena Vista Pass,Iguape,,11920-000,Brazil,5510.77,2/26/2025,Feedspan,Entertainment,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,Refund,BRL,1.3252,6593.06,6/13/2028,Approved,tortor quis turpis sed ante vivamus tortor duis mattis egestas,Ntag,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,Bridget Morris,bmorrisj@purevolume.com,751-799-4741,0 Springs Avenue,Rosice,,588 33
21,3574495856115433,Visa,11/1/2025,296,Freda Quartermain,61890 Alpine Park,Antanifotsy,,,Madagascar,5023.57,11/10/2027,Feednation,Dining,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,Cash Advance,MGA,1.458,4110.88,11/30/2024,Approved,duis consequat dui nec nisi volutpat eleifend donec ut dolor,Yombu,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,Rossie Maddyson,rmaddysonk@lulu.com,775-796-3711,53 Ludington Lane,København,1084,1211
22,5587311990125792,Mastercard,1/20/2029,508,Brian Podd,01 Huxley Parkway,Chongxing,,,China,2419.19,6/21/2030,Oyoloo,Travel,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,Refund,CNY,1.9914,9994.46,12/19/2028,Declined,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,Fanoodle,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,Zerk Alkin,zalkinl@odnoklassniki.ru,415-145-4492,493 Kings Avenue,Khotsimsk,,
23,561045958935365186,Visa,11/29/2026,428,Astrid Dunphy,04 Dorton Road,Sayaxché,,12008,Guatemala,5625.29,12/28/2030,Oyoyo,Retail,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,Cash Advance,GTQ,0.9916,7155.13,5/16/2025,Declined,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,Trilia,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,Flss Ventam,fventamm@oakley.com,124-116-1611,0 Valley Edge Avenue,Itatiba,,13250-000
24,3567900010722650,Visa,7/7/2023,169,Thorsten Bickerdike,28075 Boyd Crossing,Gaotai,,,China,1104.95,5/4/2030,Shuffletag,Dining,eget nunc donec quis orci eget orci vehicula condimentum curabitur in,Cash Advance,CNY,1.0283,1538.82,4/29/2025,Pending,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis,Skalith,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,Waldon Corse,wcorsen@360.cn,321-283-5323,33 Fairview Junction,Tofa,,
25,3583097321013786,American Express,3/14/2027,161,Reider Bandy,177 Springview Place,Daqiao,,,China,1056.12,6/5/2028,Camido,Retail,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,Cash Advance,CNY,1.5476,703.17,6/4/2026,Declined,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,Leenti,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,Cathie Edgeson,cedgesono@mozilla.org,410-784-4662,6481 Darwin Court,Samboan,,6027
26,3588425774146404,Visa,2/24/2026,186,Isak Rutter,4816 Spenser Court,Liangting,,,China,5669.38,5/22/2028,Skimia,Dining,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,Cash Advance,CNY,1.2274,7242.86,1/30/2025,Declined,rhoncus dui vel sem sed sagittis nam congue risus semper,Skipstorm,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,Maurise Skeleton,mskeletonp@chicagotribune.com,673-467-4963,4 Kim Hill,‘Arad,,
27,5602214311556045145,American Express,10/29/2027,863,Briana Kiraly,3907 Kropf Hill,Sabanagrande,,,Honduras,9960.98,7/21/2025,Mydeo,Dining,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,Refund,HNL,0.7358,9188.99,11/8/2023,Declined,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,Skilith,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,Kevan Tugman,ktugmanq@yolasite.com,104-220-7055,3 Fallview Point,Ban Phai,,40110
28,589399725598157462,Mastercard,10/20/2030,927,Callie Cosgreave,00272 Cordelia Alley,Jiuguan,,,China,1412.29,8/28/2029,Pixonyx,Travel,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,Purchase,CNY,0.7891,3813.94,7/23/2026,Pending,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,Thoughtbeat,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,Kathi Goodridge,kgoodridger@upenn.edu,770-309-4713,8622 Bunker Hill Drive,Áno Sýros,,
29,3574354293125960,American Express,3/11/2025,267,Dene Plaster,6 Westerfield Circle,Chadian,,,China,5760.54,10/19/2026,Izio,Dining,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,Refund,CNY,1.9284,2665.26,1/30/2027,Pending,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,Avamm,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,Humfried Nevill,hnevills@theguardian.com,927-754-4104,286 Straubel Terrace,Vicuña,,
30,201719298169444,American Express,9/10/2029,316,Milt Dyche,54208 Bayside Trail,Xingbin,,,China,2243.63,5/19/2025,Vinder,Retail,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,Purchase,CNY,0.6744,7396.29,6/26/2028,Pending,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,Zoomlounge,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,Oralla Middleweek,omiddleweekt@moonfruit.com,248-785-4171,926 Hoffman Point,Bugojno,,
31,3549425887500883,Visa,11/18/2025,523,Garrot Blazynski,8261 Annamark Junction,Fonadhoo,,,Maldives,585.21,2/22/2030,Voonix,Dining,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,Purchase,MVR,1.9334,7323.15,7/14/2029,Approved,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,Browsebug,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,Auberon Woolstenholmes,awoolstenholmesu@house.gov,251-339-8979,1889 Garrison Pass,São Miguel do Rio Torto,14,2205-554
32,374288008444365,American Express,12/2/2024,879,Rory Lapley,31173 Susan Alley,Akureyri,,603,Iceland,7294.35,10/7/2030,Bubblemix,Travel,nunc vestibulum ante ipsum primis in faucibus orci luctus et,Cash Advance,ISK,1.3779,7599.92,7/1/2026,Declined,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,Snaptags,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,Trip McParlin,tmcparlinv@phoca.cz,786-890-8363,06498 Pepper Wood Point,Lazo,,692980
33,3556969072331141,American Express,5/12/2025,700,Sanson Rosenfeld,96448 Bellgrove Center,Nagaoka,,999-2222,Japan,2291.72,11/2/2028,Layo,Dining,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,Cash Advance,JPY,1.056,9101.83,5/4/2025,Approved,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,Jazzy,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,Jerrie Lawrenceson,jlawrencesonw@youku.com,207-161-6294,2 Porter Crossing,Turanj,,23207
34,3541067416009412,Visa,5/23/2030,113,Nathalia Leader,6542 Donald Lane,Bāqim as Sūq,,,Yemen,1393.37,1/30/2025,Yabox,Entertainment,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,Refund,YER,0.5617,7018.06,4/22/2030,Declined,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,Livepath,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,Marwin Bracknell,mbracknellx@nyu.edu,464-958-8167,06 Sloan Junction,Alenquer,,68200-000
35,5020138256173447,American Express,12/15/2028,249,Mar Macvain,752 Prairie Rose Junction,Zhaike,,,China,765.36,6/8/2022,Zoombox,Entertainment,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,Purchase,CNY,1.6206,9654.06,1/15/2028,Pending,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,Skyba,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,Aron Eary,aearyy@ftc.gov,241-465-2264,0 Golf View Way,Eg-Uur,,
36,5602223714666913,Visa,11/18/2024,271,Sydelle Czadla,9 Pierstorff Way,Caparrapí,,253468,Colombia,1082.83,7/11/2024,Feedbug,Travel,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,Refund,COP,1.9803,1801.9,12/14/2027,Declined,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,Topdrive,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,Ilysa Walaron,iwalaronz@chronoengine.com,710-646-6480,2894 Logan Pass,Tlumach,,
37,560224780912742582,Visa,5/13/2025,519,Concordia Torns,2 Florence Avenue,Luzern,LU,6015,Switzerland,1444.81,6/10/2030,Ooba,Dining,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,Refund,CHF,1.8457,3864.64,9/9/2029,Pending,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,Brainlounge,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,Oralie Cockerham,ocockerham10@vkontakte.ru,830-870-8667,788 Montana Avenue,Gaojian,,
38,4405628301331121,Visa,5/30/2022,395,Calley Camilli,09196 4th Avenue,Nariño,,252837,Colombia,8649.79,1/25/2026,Rhybox,Entertainment,dapibus duis at velit eu est congue elementum in hac habitasse,Refund,COP,1.8261,6884.78,12/10/2023,Declined,quisque erat eros viverra eget congue eget semper rutrum nulla nunc,Riffpedia,convallis nunc proin at turpis a pede posuere nonummy integer non,George Verrill,gverrill11@ed.gov,890-675-4383,588 Bunting Junction,Usulután,,
39,3530016121998776,Mastercard,10/11/2030,506,Marsiella Hekkert,74 Texas Park,Sokoto,,,Nigeria,4797.42,9/3/2025,Eabox,Retail,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,Cash Advance,NGN,1.2712,2709.05,11/15/2029,Declined,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,Skaboo,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,Barth McKnockiter,bmcknockiter12@icio.us,193-622-4659,8 Vahlen Road,Rawa,,
40,50205493385650358,American Express,1/11/2023,147,Olivette Montacute,6830 Clarendon Trail,Garango,,,Burkina Faso,5676.72,9/27/2030,Skidoo,Entertainment,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,Cash Advance,XOF,1.377,2494.41,9/5/2029,Declined,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,Thoughtstorm,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,Allen Burke,aburke13@prnewswire.com,493-396-1243,28 Sachs Lane,Jovellanos,,
41,3583139828849187,Mastercard,1/31/2025,878,Merrili Ruben,85733 Mallory Court,Paris 04,A8,75188 CEDEX 04,France,4204.19,1/17/2022,Skajo,Entertainment,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,Purchase,EUR,1.5696,2299.08,12/16/2028,Pending,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,Edgewire,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,Isac Symes,isymes14@google.com.br,398-964-9803,34 Loomis Court,Savannah,GA,31410
42,374622200861689,Mastercard,1/15/2026,882,Flossy O' Shea,188 Kinsman Alley,Maniowy,,34-436,Poland,2553.89,5/20/2025,Avavee,Entertainment,non velit donec diam neque vestibulum eget vulputate ut ultrices vel,Refund,PLN,1.5014,2261.73,2/16/2030,Approved,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,Zoovu,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,Lurleen Borley,lborley15@amazon.co.jp,856-687-7305,709 Southridge Center,Longtang,,
43,3576767643792437,Visa,8/27/2022,332,Nikoletta Deinhardt,088 Village Junction,Kalvola,,12640,Finland,1573.24,8/23/2029,Ailane,Dining,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,Cash Advance,EUR,1.0767,1572.38,8/22/2026,Pending,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,Brainbox,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,Brittany Gulleford,bgulleford16@vinaora.com,733-344-0571,468 Muir Terrace,Budayuan,,
44,3578757551302558,Mastercard,8/24/2022,187,Thorn Heynel,6 Nobel Lane,Yongfeng,,,China,9017.51,10/27/2025,Flipstorm,Retail,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,Cash Advance,CNY,1.2321,1903.64,3/13/2025,Pending,id lobortis convallis tortor risus dapibus augue vel accumsan tellus,Tavu,quisque erat eros viverra eget congue eget semper rutrum nulla,Chuck Estoile,cestoile17@ftc.gov,211-895-3267,133 Sachtjen Alley,Pingshui,,
45,201402184024946,Visa,8/1/2028,565,Davon Forlong,7 Lake View Road,Yunping,,,China,7808.98,5/5/2025,Blogspan,Travel,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,Cash Advance,CNY,0.8245,9499.88,9/16/2023,Approved,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,Yozio,nunc purus phasellus in felis donec semper sapien a libero,Nollie Bafford,nbafford18@npr.org,408-421-6689,77138 Sherman Parkway,Julun,,
46,630461445963710226,Visa,12/24/2030,230,Kin Leghorn,15 Service Center,Berlin,BE,13347,Germany,5807.93,4/26/2023,Skidoo,Retail,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,Cash Advance,EUR,0.9938,2806.97,7/7/2026,Declined,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,Brainsphere,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,Edi Izkovicz,eizkovicz19@ftc.gov,297-595-9943,9 Ridgeway Court,Smoky Lake,AB,N8V
47,374283483957569,American Express,6/6/2027,768,Darius McWhorter,8490 Marquette Park,Santo Niño,,6711,Philippines,5166.13,3/3/2029,Thoughtmix,Retail,dolor quis odio consequat varius integer ac leo pellentesque ultrices,Cash Advance,PHP,1.617,9226.09,1/7/2030,Declined,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,Kazio,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,Cindra Cousen,ccousen1a@mozilla.org,892-685-1652,252 Darwin Crossing,Thị Trấn Tân Yên,,
